法规名称,法条号,内容,时效性,一级效力级别,二级效力级别,地域(含市),实施日期,失效日期,地域,详情链接,法条ID,法规ID,标签,相似度评分,类型
中华人民共和国数据安全法,第三十一条,　关键信息基础设施的运营者在中华人民共和国境内运营中收集和产生的重要数据的出境安全管理，适用《中华人民共和国网络安全法》的规定；其他数据处理者在中华人民共和国境内运营中收集和产生的重要数据的出境安全管理办法，由国家网信部门会同国务院有关部门制定。,现行有效,法律,法律,中央,20210901,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/ea3723b947e52ec5520715af35f6bb4b?text=31,ea3723b947e52ec5520715af35f6bb4b_31,ea3723b947e52ec5520715af35f6bb4b,"['财税##其他法律法规##其他法律', '财税##其他法律法规', '财税', '证券行业法规']",1.1619136319999999,1
促进和规范数据跨境流动规定,第一条,为了保障数据安全，保护个人信息权益，促进数据依法有序自由流动，根据《中华人民共和国网络安全法》、《中华人民共和国数据安全法》、《中华人民共和国个人信息保护法》等法律法规，对于数据出境安全评估、个人信息出境标准合同、个人信息保护认证等数据出境制度的施行，制定本规定。,现行有效,部门规章,部门规章,中央,20240322,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/fc667f6b0c55619237ed6e6c252e7972?text=1,fc667f6b0c55619237ed6e6c252e7972_1,fc667f6b0c55619237ed6e6c252e7972,[],1.096906965,1
数据出境安全评估办法,第八条,"数据出境安全评估重点评估数据出境活动可能对国家安全、公共利益、个人或者组织合法权益带来的风险，主要包括以下事项：
　　（一）数据出境的目的、范围、方式等的合法性、正当性、必要性；
　　（二）境外接收方所在国家或者地区的数据安全保护政策法规和网络安全环境对出境数据安全的影响；境外接收方的数据保护水平是否达到中华人民共和国法律、行政法规的规定和强制性国家标准的要求；
　　（三）出境数据的规模、范围、种类、敏感程度，出境中和出境后遭到篡改、破坏、泄露、丢失、转移或者被非法获取、非法利用等的风险；
　　（四）数据安全和个人信息权益是否能够得到充分有效保障；
　　（五）数据处理者与境外接收方拟订立的法律文件中是否充分约定了数据安全保护责任义务；
　　（六）遵守中国法律、行政法规、部门规章情况；
　　（七）国家网信部门认为需要评估的其他事项。",现行有效,部门规章,部门规章,中央,20220901,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/6795a5ff05348c895918473ffa90c2d3?text=8,6795a5ff05348c895918473ffa90c2d3_8,6795a5ff05348c895918473ffa90c2d3,"['财税##其他法律法规##其他法律', '财税##其他法律法规', '财税']",1.0893619,1
网络数据安全管理条例,第三十八条,　通过数据出境安全评估后，网络数据处理者向境外提供个人信息和重要数据的，不得超出评估时明确的数据出境目的、方式、范围和种类、规模等。,现行有效,行政法规,行政法规,中央,20250101,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/059cb96f5f6222af3007ca879925d23e?text=38,059cb96f5f6222af3007ca879925d23e_38,059cb96f5f6222af3007ca879925d23e,[],1.08699415,1
促进和规范数据跨境流动规定,第三条,国际贸易、跨境运输、学术合作、跨国生产制造和市场营销等活动中收集和产生的数据向境外提供，不包含个人信息或者重要数据的，免予申报数据出境安全评估、订立个人信息出境标准合同、通过个人信息保护认证。,现行有效,部门规章,部门规章,中央,20240322,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/fc667f6b0c55619237ed6e6c252e7972?text=3,fc667f6b0c55619237ed6e6c252e7972_3,fc667f6b0c55619237ed6e6c252e7972,[],1.0869439900000002,1
数据出境安全评估办法,第三条,数据出境安全评估坚持事前评估和持续监督相结合、风险自评估与安全评估相结合，防范数据出境安全风险，保障数据依法有序自由流动。,现行有效,部门规章,部门规章,中央,20220901,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/6795a5ff05348c895918473ffa90c2d3?text=3,6795a5ff05348c895918473ffa90c2d3_3,6795a5ff05348c895918473ffa90c2d3,"['财税##其他法律法规##其他法律', '财税##其他法律法规', '财税']",1.0855665700000001,1
数据出境安全评估办法,第五条,"数据处理者在申报数据出境安全评估前，应当开展数据出境风险自评估，重点评估以下事项：
　　（一）数据出境和境外接收方处理数据的目的、范围、方式等的合法性、正当性、必要性；
　　（二）出境数据的规模、范围、种类、敏感程度，数据出境可能对国家安全、公共利益、个人或者组织合法权益带来的风险；
　　（三）境外接收方承诺承担的责任义务，以及履行责任义务的管理和技术措施、能力等能否保障出境数据的安全；
　　（四）数据出境中和出境后遭到篡改、破坏、泄露、丢失、转移或者被非法获取、非法利用等的风险，个人信息权益维护的渠道是否通畅等；
　　（五）与境外接收方拟订立的数据出境相关合同或者其他具有法律效力的文件等（以下统称法律文件）是否充分约定了数据安全保护责任义务；
　　（六）其他可能影响数据出境安全的事项。",现行有效,部门规章,部门规章,中央,20220901,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/6795a5ff05348c895918473ffa90c2d3?text=5,6795a5ff05348c895918473ffa90c2d3_5,6795a5ff05348c895918473ffa90c2d3,"['财税##其他法律法规##其他法律', '财税##其他法律法规', '财税']",1.0855665700000001,1
个人信息出境标准合同办法,第五条,"个人信息处理者向境外提供个人信息前，应当开展个人信息保护影响评估，重点评估以下内容： 
　　（一）个人信息处理者和境外接收方处理个人信息的目的、范围、方式等的合法性、正当性、必要性； 
　　（二）出境个人信息的规模、范围、种类、敏感程度，个人信息出境可能对个人信息权益带来的风险； 
　　（三）境外接收方承诺承担的义务，以及履行义务的管理和技术措施、能力等能否保障出境个人信息的安全； 
　　（四）个人信息出境后遭到篡改、破坏、泄露、丢失、非法利用等的风险，个人信息权益维护的渠道是否通畅等； 
　　（五）境外接收方所在国家或者地区的个人信息保护政策和法规对标准合同履行的影响； 
　　（六）其他可能影响个人信息出境安全的事项。",现行有效,部门规章,部门规章,中央,20230601,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/60813b95aa522fd3ce90ab8801c2446b?text=5,60813b95aa522fd3ce90ab8801c2446b_5,60813b95aa522fd3ce90ab8801c2446b,[],1.08464873,1
个人信息出境认证办法,第六条,"个人信息处理者在申请认证向境外提供个人信息前，应当按照法律、行政法规的规定履行告知、取得个人单独同意、进行个人信息保护影响评估等义务。个人信息保护影响评估重点评估以下内容：
　　（一）个人信息处理者和境外接收方处理个人信息的目的、范围、方式等的合法性、正当性、必要性；
　　（二）出境个人信息的规模、范围、种类、敏感程度，个人信息出境可能对国家安全、公共利益、个人信息权益带来的风险；
　　（三）境外接收方承诺承担的义务，以及履行义务的管理和技术措施、能力等能否保障出境个人信息的安全；
　　（四）个人信息出境后遭到篡改、破坏、泄露、丢失、非法利用等的风险，个人信息权益维护的渠道是否通畅等；
　　（五）境外接收方所在国家或者地区的个人信息保护政策和法规对出境个人信息安全和个人信息权益的影响；
　　（六）其他可能影响个人信息出境安全的事项。",现行有效,部门规章,部门规章,中央,20260101,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/557bdeaf84bfe188db0d772399ffcca8?text=6,557bdeaf84bfe188db0d772399ffcca8_6,557bdeaf84bfe188db0d772399ffcca8,[],1.08435019,1
促进和规范数据跨境流动规定,第四条,数据处理者在境外收集和产生的个人信息传输至境内处理后向境外提供，处理过程中没有引入境内个人信息或者重要数据的，免予申报数据出境安全评估、订立个人信息出境标准合同、通过个人信息保护认证。,现行有效,部门规章,部门规章,中央,20240322,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/fc667f6b0c55619237ed6e6c252e7972?text=4,fc667f6b0c55619237ed6e6c252e7972_4,fc667f6b0c55619237ed6e6c252e7972,[],1.083736115,1
数据出境安全评估办法,第一条,为了规范数据出境活动，保护个人信息权益，维护国家安全和社会公共利益，促进数据跨境安全、自由流动，根据《中华人民共和国网络安全法》、《中华人民共和国数据安全法》、《中华人民共和国个人信息保护法》等法律法规，制定本办法。,现行有效,部门规章,部门规章,中央,20220901,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/6795a5ff05348c895918473ffa90c2d3?text=1,6795a5ff05348c895918473ffa90c2d3_1,6795a5ff05348c895918473ffa90c2d3,"['财税##其他法律法规##其他法律', '财税##其他法律法规', '财税']",1.0822319200000001,1
数据出境安全评估办法,第十二条,"国家网信部门应当自向数据处理者发出书面受理通知书之日起45个工作日内完成数据出境安全评估；情况复杂或者需要补充、更正材料的，可以适当延长并告知数据处理者预计延长的时间。
　　评估结果应当书面通知数据处理者。",现行有效,部门规章,部门规章,中央,20220901,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/6795a5ff05348c895918473ffa90c2d3?text=12,6795a5ff05348c895918473ffa90c2d3_12,6795a5ff05348c895918473ffa90c2d3,"['财税##其他法律法规##其他法律', '财税##其他法律法规', '财税']",1.0813220000000001,1
